hgnc_symbol	chromosome_name
RN7SL424P	4
SCARNA6	2
RNA5SP344	11
RNU6-1209P	8
AF124730.1	21
AC009228.2	2
AC026634.1	18
RN7SL76P	7
RNU6-1285P	4
RNA5SP412	16
RNU6-976P	14
AP000272.1	21
AL662866.1	CHR_HSCHR6_MHC_COX_CTG1
RN7SKP254	15
RN7SKP258	9
AL137139.1	13
RN7SL304P	1
SCARNA18B	1
RNA5SP243	7
AL138776.1	1
AC243562.4	15
AL160163.1	6
AC073135.5	CHR_HSCHR3_9_CTG3
AP000944.2	11
RNU6-1223P	19
AC005995.1	7
RNU6-1093P	12
RNU6-1029P	2
RNA5SP291	9
RNY4P36	17
RNU6-143P	3
SNORD32B	CHR_HSCHR6_MHC_MANN_CTG1
RNU6-551P	4
RNU6-158P	4
AC117415.2	3
RNY3P7	13
AC012640.3	5
RNU6-1330P	5
RNU6-1108P	15
AC004792.1	19
AC025252.1	12
RN7SL705P	18
SNORD56	20
RNU6-1098P	3
RN7SKP159	8
AL138883.1	6
RN7SL775P	17
RNU6-747P	CHR_HSCHR1_3_CTG32_1
AC115989.2	17
RNU6-275P	12
RN7SL392P	1
RN7SL666P	20
AL627313.2	1
RN7SKP89	5
RNU6-805P	10
AC022296.1	3
RNU6-697P	10
AC023855.1	17
RN7SL65P	2
AC093872.1	4
RNU7-187P	11
CR936875.1	CHR_HSCHR6_MHC_MCF_CTG1
RNU6-368P	9
RN7SL154P	19
SNORA38	6
AC135279.1	12
AC004080.9	7
RNA5SP165	4
AL732366.1	X
AL109925.5	1
SNORA77	1
RNU6-678P	3
RN7SL398P	10
CR589951.1	1
SNORD14A	11
RN7SKP110	6
RNU6-360P	2
RN7SKP2	13
AL139098.1	6
AL136418.2	14
RN7SKP219	10
RNU6-824P	6
AL445248.2	1
RN7SKP21	14
SCARNA3	1
AL592430.1	10
RNA5SP130	3
OBP2B	CHR_HG2030_PATCH
AC012640.2	5
AL157858.1	CHR_HSCHR14_7_CTG1
AC092868.1	15
SNORA6	3
AP000552.4	22
RNU6-15P	10
RNU6-1172P	8
AC080069.1	2
RN7SKP266	7
AC107055.1	4
RN7SL251P	2
AC247039.1	1
RNU6-204P	4
SNORA51	20
RN7SL520P	16
AL096709.1	6
AL034410.1	X
AL845353.1	CHR_HSCHR6_MHC_QBL_CTG1
AC104070.1	4
CR753819.1	CHR_HSCHR6_MHC_DBB_CTG1
RNU6-1270P	3
RNA5SP368	12
RN7SL814P	5
AL031684.1	20
RN7SL248P	10
RN7SKP72	18
AC023830.4	16
RNU1-51P	CHR_HSCHR4_6_CTG12
RNA5SP186	5
AC136611.1	16
RNU7-37P	X
RNU6-1225P	X
AC093867.1	4
RNU6-475P	6
RNU6-1146P	20
RNA5SP63	1
AC004080.15	7
RNU4-24P	12
AL157838.2	20
RNU6-961P	2
RNA5SP138	3
RN7SKP11	12
RNU4-50P	8
AP003392.6	11
AC113410.1	5
RNU6-313P	7
AC116622.1	KI270750.1
RN7SL664P	3
AC008635.1	19
SNORD115-16	15
SNORD69	3
RNU6-234P	2
RN7SL378P	5
RN7SKP239	11
SNORA25B	7
RNU6-1331P	8
RNA5-8SN1	21
RNU6-9	19
RN7SKP277	7
RN7SKP190	16
AC096733.1	4
RNU6-1199P	1
RNA5SP108	2
AC007435.2	2
AC091038.1	18
RNU1-73P	5
RNU7-29P	1
RNU4-78P	3
AC073575.2	12
RNU6-610P	15
AL691482.1	1
SNORA14B	1
AC007272.2	2
RNA5SP477	20
RNA5SP416	16
RNA5SP479	20
SNORA59A	1
RNU6-369P	1
RNA5SP500	X
RN7SL792P	17
RN7SL684P	5
RN7SKP195	1
RNU7-185P	9
RNU6-1243P	11
AP000590.1	11
AL606748.2	X
AC021105.1	4
AC040173.1	16
RN7SL817P	2
AC010655.5	7
RNA5SP65	1
RNU6-68P	13
AL121715.1	6
RNA5SP406	16
AC026347.1	3
RN7SL285P	6
AC004080.13	7
RNU1-5P	1
RNA5SP302	10
AC092630.1	2
RNU6-179P	1
MIR6089	X
BX908732.1	CHR_HSCHR6_MHC_MANN_CTG1
AC073140.1	7
MIR620	12
AC106873.6	7
MIR3165	11
MIR6856	9
RN7SKP37	10
RN7SKP16	1
SNORD108	15
MIR4286	8
SNORD82	2
AC130406.1	12
AC008670.1	5
AC091073.1	15
MIR4803	5
RNU6-947P	1
AC211476.7	7
RN7SL473P	1
AC007351.4	12
LENG1	CHR_HSCHR19LRC_LRC_I_CTG3_1
MIR3650	5
CR759787.2	CHR_HSCHR6_MHC_MCF_CTG1
MIR4277	5
RNU6-422P	10
RNA5SP342	11
AC022217.1	5
MIR4448	3
AC217773.1	17
RNU6-998P	4
MIR8076	3
RNU4-81P	X
AC114772.1	2
RNU6-264P	9
RNU6-1328P	7
MIR711	3
RN7SL413P	13
RNA5SP521	Y
MIR499A	20
RN7SKP238	10
MIR7845	2
RN7SKP267	X
AC007375.1	14
RN7SL88P	12
RN7SKP91	1
MIR4435-2	2
RNA5-8SN2	21
AC022692.1	15
RNU7-174P	8
MIR548S	2
MIR518A2	19
AC136352.3	CHR_HSCHR15_1_CTG1
MIR518C	19
RNU6-301P	14
RN7SKP139	15
AC073476.5	2
RNU6-266P	X
SNORD115-12	15
MIR125A	19
RNU6-1276P	8
AL031591.2	22
MIR8085	19
AC011295.2	CHR_HSCHR15_5_CTG8
AL445423.2	1
MIR1203	17
AL138834.1	9
RN7SL541P	5
FP885535.1	22
MIR6862-1	16
RN7SL303P	8
RN7SL254P	4
SNORD116-10	15
MIR2276	13
SNORD118	17
AC087893.2	12
RNU1-70P	3
RNU6-331P	22
AL607035.1	10
RNU7-115P	17
RNA5SP399	15
RNU6-553P	4
RNU2-59P	10
RNU6-702P	18
AL591926.2	9
RNU6-964P	2
MIR4641	6
RNA5SP189	5
RNU6-303P	Y
AL606804.2	1
RNA5SP458	CHR_HSCHR18_1_CTG1_1
RN7SL242P	1
FTHL18	X
E2F6P4	X
AC107375.1	8
AC022306.3	15
AC013452.2	15
REG3G	2
ALDOC	17
AC087633.1	15
HEMK1	3
TM4SF19	3
FGF7	15
CHRAC1	8
AC087636.1	15
AC024361.3	17
FBXO30	6
ZP4	1
AC083906.1	3
KLRC1	12
AC083906.5	3
AC107976.1	15
AC083906.2	3
OR7E129P	3
ADAM6	14
AL356599.1	6
AC246787.1	14
OR7E21P	3
KIR2DL4	CHR_HSCHR19LRC_PGF1_CTG3_1
IGHV1-2	14
AC009090.5	16
AC009090.4	16
IGHVIII-2-1	14
IGHV1-3	14
KIR3DL2	CHR_HSCHR19LRC_LRC_S_CTG3_1
IGHV4-4	14
AL359924.1	1
AC069257.2	3
AL590396.1	1
AC069257.3	3
AC104633.1	3
AC007322.4	Y
AC104633.2	3
AC008521.2	19
COX6CP6	3
AC015920.1	17
ATP5MFP1	21
AC005303.1	17
AP000692.1	21
HMGB1P36	3
MAP2K6	17
TCTEX1D2	3
LINC02093	17
CAVIN1	17
SLC34A2	4
CHAF1B	21
FAH	15
AL590396.3	1
AL590396.2	1
RPLP0	12
AL590396.4	1
MTRNR2L11	1
RBMY1E	Y
MTCYBP15	1
CCDC15	11
MTND6P15	1
KIR2DS4	CHR_HSCHR19LRC_PGF1_CTG3_1
MTND5P18	1
PPIAP19	10
SHPRH	6
YWHAQP9	1
ROPN1B	3
AL137025.1	10
AL356010.1	1
AL356010.2	1
KIR2DL1	CHR_HSCHR19LRC_PGF1_CTG3_1
AC044802.2	16
AL359551.1	1
AP000692.2	21
CA7	16
LINC01139	1
AC008171.1	2
AC007736.1	2
BX842568.1	X
KRT18P32	1
RPS6P4	3
AL359704.3	1
PARD3B	2
AC126178.1	12
MIPEPP2	1
MORC3	21
HELQ	4
AL583825.1	1
AC079910.1	3
AC084017.1	3
STUM	1
LINC02392	12
LINC01323	3
LINC01324	3
PCYT1A	3
AL590135.1	1
AC093426.2	1
TBC1D3I	17
AC093426.1	1
AC025263.1	12
KIR2DP1	CHR_HSCHR19LRC_PGF1_CTG3_1
HS3ST3A1	17
AP000240.1	21
LINC00189	21
OGFOD2	12
AC007322.1	Y
AC112481.2	12
AC112481.1	12
ARHGEF3-AS1	3
KIR3DP1	CHR_HSCHR19LRC_PGF1_CTG3_1
RBMY2AP	Y
BACH1-IT2	21
AC084365.1	12
LINC02822	12
AC138904.2	16
AC002546.1	17
MAB21L4	2
NIT2	3
AP005482.3	18
ITPKB-AS1	1
AP005482.2	18
ITPKB-IT1	1
MOB1AP2	X
ITPKB	1
RBBP6	16
ARHGEF3	3
AC007322.3	Y
BACH1-AS1	21
REG1B	2
PPT2	CHR_HSCHR6_MHC_SSTO_CTG1
FSBP	8
GAPDHP14	21
AL157938.1	9
HAUS4P1	1
RPIAP1	18
RPS27P5	1
RAD54B	8
AL359732.1	1
FAM78A	9
LINC01833	2
ANGPTL5	11
LINC02192	16
OFD1P8Y	Y
AC141846.1	16
CROCC2	2
SI	3
LINC02133	16
AC012354.10	2
IGHV7-4-1	14
LINC02134	16
IGHV2-5	14
IGHVIII-5-1	14
IGHVIII-5-2	14
AC104809.2	2
CEP126	11
AC026803.3	19
C4A-AS1	6
AC104809.1	2
SIX3-AS1	2
GORAB-AS1	1
PIGN	18
ACVR1C	2
AL121776.1	20
SIX3	2
C4A	6
GAPDHP54	20
AC087761.1	15
GORAB	1
AL022342.1	20
IGHV3-6	14
IGHV3-7	14
IGHV3-64D	14
BCAT2	19
IGHV5-10-1	14
AC092468.1	3
FAAH	1
AC080038.2	17
GAP43	3
AC005304.2	17
AC012354.1	2
AC005304.1	17
AC080038.3	17
CDRT15P1	17
AC005304.3	17
ZNF142	2
PKMP1	1
AC005726.2	17
MRC2	17
AC005726.4	17
COX10	17
NPIPB6	16
AC018552.3	16
SPAG5-AS1	17
SPHK1	17
AC138894.3	16
AC026725.1	5
AC005726.1	17
TM4SF19-TCTEX1D2	3
AC112173.1	5
AC025188.1	5
KLK3	19
S100B	21
F2RL2	5
AC069257.4	3
LINC00924	15
PIGS	17
ADGRG1	16
SLC51A	3
AC104260.1	15
AC104260.2	15
LINC01197	15
LDLRAP1	1
COX10-AS1	17
BCS1L	2
RPL7AP60	12
KIF15	3
AC004217.2	12
ATXN7L1	7
AL358334.2	14
AC233699.1	17
AL606491.1	1
MOB1A	2
HSFY5P	Y
HECTD4	12
AC090699.2	17
TM4SF19-AS1	3
USP9YP17	Y
AC080038.4	17
PRPSAP1	17
AC096996.3	16
AC096996.1	16
CYCSP23	8
LINC02023	3
LY6G6C	CHR_HSCHR6_MHC_DBB_CTG1
ENPP2	8
GPATCH1	19
NTN1	17
AC005726.3	17
SLITRK3	3
AC104260.3	15
AC027013.1	15
SLC13A2	17
